x,y,value
31,58,9
31,59,8
31,60,7
31,61,6
31,62,5
31,63,4
32,0,4
32,1,5
32,2,6
32,3,7
32,4,8
32,5,9
32,6,10
32,7,11
32,8,3
32,9,4
32,10,5
32,11,6
32,12,7
32,13,8
32,14,9
32,15,10
32,16,2
32,17,3
32,18,4
32,19,5
32,20,6
32,21,7
32,22,8
32,23,9
32,24,1
32,25,2
32,26,3
32,27,4
32,28,5
32,29,6
32,30,7
32,31,8
32,32,0
32,33,1
32,34,2
32,35,3
32,36,4
32,37,5
32,38,6
32,39,7
32,40,1
32,41,2
32,42,3
32,43,4
32,44,5
32,45,6
32,46,7
32,47,8
32,48,2
32,49,3
32,50,4
32,51,5
32,52,6
32,53,7
32,54,8
32,55,9
32,56,3
32,57,4
32,58,5
32,59,6
32,60,7
32,61,8
32,62,9
32,63,10
33,0,5
33,1,4
33,2,5
33,3,6
33,4,7
33,5,8
33,6,9
33,7,10
33,8,4
33,9,3
33,10,4
33,11,5
33,12,6
33,13,7
33,14,8
33,15,9
33,16,3
33,17,2
33,18,3
33,19,4
33,20,5
33,21,6
33,22,7
33,23,8
33,24,2
33,25,1
33,26,2
33,27,3
33,28,4
33,29,5
33,30,6
33,31,7
33,32,1
33,33,0
33,34,1
33,35,2
33,36,3
33,37,4
33,38,5
33,39,6
33,40,2
33,41,1
33,42,2
33,43,3
33,44,4
33,45,5
33,46,6
33,47,7
33,48,3
33,49,2
33,50,3
33,51,4
33,52,5
33,53,6
33,54,7
33,55,8
33,56,4
33,57,3
33,58,4
33,59,5
33,60,6
33,61,7
33,62,8
33,63,9
34,0,6
34,1,5
34,2,4
34,3,5
34,4,6
34,5,7
34,6,8
34,7,9
34,8,5
34,9,4
34,10,3
34,11,4
34,12,5
34,13,6
34,14,7
34,15,8
34,16,4
34,17,3
34,18,2
34,19,3
34,20,4
34,21,5
34,22,6
34,23,7
34,24,3
34,25,2
34,26,1
34,27,2
34,28,3
34,29,4
34,30,5
34,31,6
34,32,2
34,33,1
34,34,0
34,35,1
34,36,2
34,37,3
34,38,4
34,39,5
34,40,3
34,41,2
34,42,1
34,43,2
34,44,3
34,45,4
34,46,5
34,47,6
34,48,4
34,49,3
34,50,2
34,51,3
34,52,4
34,53,5
34,54,6
34,55,7
34,56,5
34,57,4
34,58,3
34,59,4
34,60,5
34,61,6
34,62,7
34,63,8
35,0,7
35,1,6
35,2,5
35,3,4
35,4,5
35,5,6
35,6,7
35,7,8
35,8,6
35,9,5
35,10,4
35,11,3
35,12,4
35,13,5
35,14,6
35,15,7
35,16,5
35,17,4
35,18,3
35,19,2
35,20,3
35,21,4
35,22,5
35,23,6
35,24,4
35,25,3
35,26,2
35,27,1
35,28,2
35,29,3
35,30,4
35,31,5
35,32,3
35,33,2
35,34,1
35,35,0
35,36,1
35,37,2
35,38,3
35,39,4
35,40,4
35,41,3
35,42,2
35,43,1
35,44,2
35,45,3
35,46,4
35,47,5
35,48,5
35,49,4
35,50,3
35,51,2
35,52,3
35,53,4
35,54,5
35,55,6
35,56,6
35,57,5
35,58,4
35,59,3
35,60,4
35,61,5
35,62,6
35,63,7
36,0,8
36,1,7
36,2,6
36,3,5
36,4,4
36,5,5
36,6,6
36,7,7
36,8,7
36,9,6
36,10,5
36,11,4
36,12,3
36,13,4
36,14,5
36,15,6
36,16,6
36,17,5
36,18,4
36,19,3
36,20,2
36,21,3
36,22,4
36,23,5
36,24,5
36,25,4
